"reefName","x","y","area","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput"
"Turning Point Patches (No 2) (11-048b)",143.54580688,-11.36818123,61789726.09,0.131511837244034,0.0399957597255707,0.288137376308441
"U/N Reef (11-049)",143.33546448,-11.36095428,3977814.943,0.223206122062829,0.0944444444444444,0.780487804878049
"U/N Reef (11-050)",143.16064453,-11.37728596,8904421.082,0.134868770837784,0.0595253370702267,0.691709518432617
"U/N Reef (11-051)",143.07316589,-11.37047768,162260.2543,0.176159679889679,0.0943634733557701,1.12247979640961
"Cholmondeley Reef (11-052)",143.07014465,-11.38962555,8565700.988,0.133390709757805,0.0669302865862846,0.88249260187149
"Jardine Reef (11-053)",143.03533936,-11.38516045,1671078.079,0.133952274918556,0.0674573332071304,0.829810380935669
"U/N Reef (11-054)",143.16517639,-11.43404198,10972633.23,0.140821978449821,0.0567698366940022,0.73239141702652
"Wallace Islet Reef (11-055)",143.04203796,-11.45389843,4771861.247,0.125861167907715,0.0654777064919472,1.15935468673706
"Milman-Aplin Reef (11-035)",143.03083801,-11.18211842,5690563.608,0.140413880348206,0.0683832913637161,0.827688992023468
"Parsons Reef (11-036)",143.1975708,-11.18444061,12891372.36,0.157754957675934,0.0696203336119652,0.358118385076523
