"year","reefName","cotsPerTow","softCorCov","hardCorCov","source","bleachPercent","bleachSeverity","sourceBoth","controlled","x","y"
1986,"Rip Reef (20-370a)",0,NaN,22.1237113402062,"AIMS",NaN,NaN,FALSE,FALSE,151.06796265,-20.80563736
1986,"Rodda Reef (13-127)",0.510204081632653,NaN,51.5714285714286,"AIMS",NaN,NaN,FALSE,FALSE,144.35662842,-13.92119122
1986,"Round Reef (19-204)",0,NaN,29.9117647058824,"AIMS",NaN,NaN,FALSE,FALSE,149.62385559,-19.96522522
1986,"Round-Russell Reef (17-013)",0,NaN,34.4285714285714,"AIMS",NaN,NaN,FALSE,FALSE,146.09152222,-17.22398567
1986,"Sanctuary Reef (22-109)",0.773584905660377,NaN,40.9716981132075,"AIMS",NaN,NaN,FALSE,FALSE,152.67567444,-22.06676674
1986,"Saxon Reef (16-032)",0,NaN,51.2352941176471,"AIMS",NaN,NaN,FALSE,FALSE,145.99028015,-16.46511841
1986,"Scott Reef (17-004)",0,NaN,14.4098360655738,"AIMS",NaN,NaN,FALSE,FALSE,146.18499756,-17.07360649
1986,"Second Small Reef (12-098)",0,NaN,22.5689655172414,"AIMS",NaN,NaN,FALSE,FALSE,143.79449463,-12.58212376
1986,"Shell Reef (19-028)",0.0384615384615385,NaN,25.1153846153846,"AIMS",NaN,NaN,FALSE,FALSE,148.18159485,-19.05929375
1986,"Shrimp Reef (18-118)",0.0491803278688525,NaN,24.2295081967213,"AIMS",NaN,NaN,FALSE,FALSE,148.05303955,-18.96915054
1986,"Sinker Reef (19-133)",0,NaN,28.5,"AIMS",NaN,NaN,FALSE,FALSE,149.19891357,-19.71930695
1986,"Slate Reef (19-159)",0,NaN,35.2368421052632,"AIMS",NaN,NaN,FALSE,FALSE,149.92649841,-19.66704559
1986,"Southampton Reef (20-299c)",0,NaN,53.2777777777778,"AIMS",NaN,NaN,FALSE,FALSE,150.45018005,-20.64879608
1986,"St Crispin Reef (16-019)",0,NaN,24.0129310344828,"AIMS",NaN,NaN,FALSE,FALSE,145.83328247,-16.10412598
