"reefName","cotsPerTowMean","cotsPerTowMedian","nObs","x","y","area"
"Hastings Reef (16-057)",0.0283809047327529,0,31,146.00813293,-16.51843643,14791596.56
"Havannah Reef (18-065)",0,0,18,146.53756714,-18.84302711,851119.2514
"Hayman Island Reef (20-014)",0.00350877192982456,0,19,148.89082336,-20.06110573,3149428.547
"Hedley Reef (17-014)",0.0364587966442164,0,16,146.48373413,-17.22857094,39815712.71
"Helix Reef (18-076)",1.09953644840008,0,22,147.2984314,-18.62459183,1580023.92
"Helsdon Reef (14-135)",0.391734344354574,0.0235587583148559,20,145.48800659,-14.93945408,12561785.17
"Heron Reef (23-052a)",0.027614232264025,0.0305298308967713,8,151.97113037,-23.44615173,63183100.95
"Hicks Reef (14-086)",0.00130208333333333,0,6,145.4821167,-14.45256233,23761377.88
"Hilder Reef (14-085)",0,0,10,145.41036987,-14.44501114,13034744.2
"Hixson Cay Reef (22-145)",3.05,0.1,4,152.73062134,-22.34350204,1308157.314
"Holbourne Island Reef (No 1) (19-103a)",0,0,6,148.35734558,-19.72500038,220385.4509
"Hook Reef (19-136a)",0,0,5,149.18539429,-19.79242516,97036738.36
"Hope Reef (16-058)",0,0,5,146.12957764,-16.52711296,1522469.247
"Hope Reef (19-046)",0.204714640198511,0,6,148.43589783,-19.32163239,4126359.858
"Hopkinson Reef (18-073)",2.44574841925383,0.0210615891926391,12,147.19277954,-18.55063438,7380080.093
"Horseshoe Reef (No 1) (22-104a)",2.1478227176412,0.44047619047619,25,152.58039856,-22.04248619,21146715.1
"Hoskyn Islands Reef (23-080)",0.0129291061190596,0,17,152.28726196,-23.8077755,8848838.091
"Houghton Reef (14-094)",0,0,4,144.97320557,-14.52409172,891771.4978
"Howard Patch (No 1) (22-148a)",15.0909090909091,0.272727272727273,4,152.59686279,-22.3952713,1746428.169
"Howard Patch (No 2) (22-148b)",4.76422764227642,0.195121951219512,4,152.65293884,-22.3807354,13083066.12
"Howie Reef (17-018a)",0.0636782972733737,0.0203735144312394,8,146.38508606,-17.39389038,86424955.66
"Hutchison Reef (17-043c)",0,0,4,146.16906738,-17.67407036,216889.6655
"Hyde Reef (19-207)",0.00277777777777778,0,24,150.08551025,-19.75622559,7974073.723
"Ingram-Beanley Reef (14-064)",0.0366681968216495,0.0317391304347826,6,144.88970947,-14.42552853,6734213.148
"Irene Reef (15-084)",0.274255486321028,0.0184210526315789,13,145.71505737,-15.64757061,12013249.45
"Jacqueline Reef (19-061)",0.0126986055544466,0,9,148.90376282,-19.21391678,5797360.864
