"reefName","cotsPerTowMeanImput","cotsPerTowMedianImput","cotsPerTowMaxImput","x","y","area"
"U/N Reef (11-064)",NaN,NaN,NaN,143.6618042,-11.09492207,85096175.04
"U/N Reef (11-065)",NaN,NaN,NaN,143.58425903,-11.15118408,9898891.301
"U/N Reef (11-066)",NaN,NaN,NaN,143.69465637,-11.15713024,2255066.812
"U/N Reef (11-067)",NaN,NaN,NaN,143.53479004,-11.14823914,9801293.011
"U/N Reef (11-068)",NaN,NaN,NaN,143.58891296,-11.20730495,10608227.57
"U/N Reef (11-069)",NaN,NaN,NaN,143.71478271,-11.19242096,52344882.63
"Maclennan Reef (No 1) (11-070a)",NaN,NaN,NaN,143.79820251,-11.31483746,5115613.308
"Maclennan Reef (No 2) (11-070b)",NaN,NaN,NaN,143.67514038,-11.25258923,63948162.95
"Maclennan Reef (No 3) (11-070c)",NaN,NaN,NaN,143.81921387,-11.25566387,28298408.89
"Indefatigable Reef (11-103)",NaN,NaN,NaN,143.6365509,-11.47353363,11586391.44
"U/N Reef (11-104)",NaN,NaN,NaN,143.70748901,-11.46648026,19043202.07
"U/N Reef (11-105)",NaN,NaN,NaN,143.92843628,-11.47588158,2540628.998
"U/N Reef (11-107)",NaN,NaN,NaN,144.01792908,-11.47539711,2715799.934
"U/N Reef (11-108)",NaN,NaN,NaN,143.90093994,-11.47789001,741136.6585
"U/N Reef (11-109a)",NaN,NaN,NaN,143.92416382,-11.49207115,6629126.236
"U/N Reef (11-109b)",NaN,NaN,NaN,143.94561768,-11.48265171,3689396.88
"U/N Reef (11-110)",NaN,NaN,NaN,143.85812378,-11.48993874,2704327.207
"U/N Reef (11-111)",NaN,NaN,NaN,143.53808594,-11.49915504,33998153.28
"U/N Reef (11-112)",NaN,NaN,NaN,143.99794006,-11.0306673,2242630.238
"U/N Reef (11-113)",NaN,NaN,NaN,144.01731873,-11.03934193,5790114.945
"U/N Reef (11-114)",NaN,NaN,NaN,144.02238464,-11.04900837,1407949.358
"U/N Reef (11-115)",NaN,NaN,NaN,144.03355408,-11.05487251,6684141.352
"U/N Reef (11-116)",NaN,NaN,NaN,144.04071045,-11.06919193,1413174.774
"U/N Reef (11-117)",NaN,NaN,NaN,144.04400635,-11.10342503,12011359.05
"U/N Reef (11-118a)",NaN,NaN,NaN,144.03330994,-11.13163185,3797331.643
