"reefName","cotsPerTowMean","cotsPerTowMedian","cotsPerTowMax","nObs","x","y","train"
"Martin Reef (14-123)",0.102678495158525,0.00975420321637427,0.8,30,145.35552979,-14.76314163,TRUE
"Marx Reef (15-027)",0.2188493130227,0,2.48387096774194,18,145.62117004,-15.19776058,TRUE
"Mast Head Reef (23-069)",0,0,0,12,151.72671509,-23.52691841,TRUE
"McCulloch Reef (No 1) (17-016a)",0.134601776880209,0,1.32743362831858,10,146.44169617,-17.28788376,FALSE
"McSweeney Reef (11-016)",0.0803959131545338,0.075,0.194444444444444,6,143.24269104,-11.02305126,TRUE
"Michaelmas Reef (16-060)",0.0157529733683403,0,0.135135135135135,31,146.01898193,-16.5817585,TRUE
"Mid Reef (19-029)",2.26976926523297,0.904793906810036,8.34375,6,148.0774231,-19.07060051,TRUE
"Middle Banks (11-222a)",0.0140692640692641,0,0.0952380952380952,10,143.50505066,-11.76433372,TRUE
"Milln Reef (16-067)",0.00523809523809524,0,0.0357142857142857,10,146.2653656,-16.77837372,TRUE
"Monsoon Reef (11-029)",0.0592901234567901,0.0408333333333333,0.2,6,143.25291443,-11.12877846,TRUE
"Moore Reef (16-071)",0.0250811517595743,0,0.233333333333333,20,146.21296692,-16.87431526,TRUE
"Morning Reef (15-098)",0.121875,0,0.608333333333333,8,145.6651001,-15.97551823,TRUE
"Moss Reef (17-068)",0.00161030595813205,0,0.0144927536231884,9,146.79472351,-17.94563866,TRUE
"Myrmidon Reef (18-034)",0.000805152979066023,0,0.0217391304347826,27,147.38424683,-18.26569939,TRUE
"Mystery Reef (21-258)",0.00409836065573771,0,0.0163934426229508,4,152.01708984,-21.37743568,TRUE
"Nathan Reef (17-035)",0.111624892460799,0.00304878048780488,0.89873417721519,10,146.51774597,-17.52473259,TRUE
"No 10 Patches (No 2) (14-152)",0,0,0,11,145.68173218,-14.93192387,FALSE
"No Name Reef (14-139)",0,0,0,31,145.64628601,-14.64376545,TRUE
"Noggin Reef (17-008)",0.0200517946537407,0,0.142857142857143,14,146.46858215,-17.12631226,TRUE
"Noreaster Reef (17-062)",0.895371913502105,0.0374331550802139,3.27142857142857,6,146.65055847,-17.77948189,TRUE
"Norman Reef (16-030)",0.00451388888888889,0,0.0625,20,145.99674988,-16.42810822,TRUE
"Normanby-Mabel Reef (17-012)",0.00588235294117647,0,0.0882352941176471,15,146.07714844,-17.20950317,TRUE
"North Direction Reef (14-143)",0.0872963465455726,0,0.714285714285714,30,145.51068115,-14.74591541,TRUE
"North Reef (North) (23-045a)",0,0,0,10,151.90402222,-23.18507195,TRUE
"North West Island Reef (23-049)",0,0,0,4,151.77075195,-23.29514885,TRUE
