"x"
"Unity Reef (No 1) (16-045a)"
"Unity Reef (No 2) (16-045b)"
"U/N Reef (16-096)"
"U/N Reef (16-097)"
"U/N Reef (16-098)"
"U/N Reef (16-099)"
"Hall-Thompson Reef (17-037)"
"Surprise Shoal (17-038)"
"U/N Reef (17-039)"
"Lindquist Reef (17-040)"
"Goudge Bank (17-041)"
"Hope Islands Reef (West) (15-064)"
"Hope Islands Reef (East) (15-065)"
"U/N Reef (15-066)"
"U/N Reef (15-067)"
"Upolu Reef (16-046)"
"Double Island Reef (16-047)"
"U/N Reef (16-100)"
"U/N Reef (16-102)"
"U/N Reef (16-103)"
"U/N Reef (16-104)"
"Adelaide Reef (17-042)"
"Jessie-Kent Reef (17-043a)"
"Bresnahan Reef (17-043b)"
"Hutchison Reef (17-043c)"
"Ellison Reef (17-044)"
"Lake Reef (15-068)"
"U/N Reef (15-069)"
"Vicki Harriott Reef (15-070)"
"U/N Reef (15-071a)"
"U/N Reef (15-071b)"
"U/N Reef (15-071c)"
"U/N Reef (15-072)"
"U/N Reef (15-073)"
"U/N Reef (15-074)"
"Haycock Reef (16-048)"
"U/N Reef (16-105)"
"U/N Reef (16-106)"
"U/N Reef (16-107)"
"U/N Reef (16-108)"
"U/N Reef (17-045)"
"Sisters-Stephens Reef (17-046)"
"Eddy Reef (17-047)"
"King Reefs (17-048)"
"U/N Reef (17-049)"
"U/N Reef (17-050)"
"Ribbon No 2 Reef (No 1) (15-075a)"
"Ribbon No 2 Reef (No 2) (15-075b)"
"Ribbon No 2 Reef (No 3) (15-075c)"
"U/N Reef (15-076)"
"U/N Reef (15-077)"
"Osterlund Reef (15-078)"
"U/N Reef (15-079)"
"Green Island Reef (16-049)"
"Rocky Island Reef (16-051b)"
"U/N Reef (16-109)"
"U/N Reef (16-110)"
"U/N Reef (16-111)"
"U/N Reef (16-112)"
"U/N Reef (16-113)"
"Beaver Reef (17-051)"
"U/N Reef (17-052)"
"Stingaree Reefs (17-053)"
"U/N Reef (17-054)"
"Thorpe (Timana) Reef (17-055)"
"Ribbon No 1 Reef (15-080)"
"Rosser Reef (15-081)"
"Emily Reef (15-082)"
"Gill Patches (15-083)"
"Irene Reef (15-084)"
"Lena Reef (15-085)"
"Rocky Island Reef (16-051a)"
"U/N Reef (16-052)"
"U/N Reef (16-053)"
"Fitzroy Island Reef (No 1) (16-054a)"
"U/N Reef (16-800)"
"U/N Reef (16-801)"
"Sudbury Reef (No 1) (17-001a)"
"U/N Reef (17-056)"
"Gilbey Reef (17-057)"
"Armistice Reef (17-058)"
"Potter Reef (No 1) (17-059a)"
"Potter Reef (No 2) (17-059b)"
"Potter Reef (No 3) (17-059c)"
"Cairns Reef (15-086)"
"Pearl Reef (15-087)"
"Ruby Reef (15-088)"
"Endeavour Reef (15-089)"
"Andersen Reef (15-090)"
"U/N Reef (15-091a)"
