"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"U/N Reef (11-148)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-149)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-150)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-151)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-152)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-153)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-154)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-155)",NaN,NaN,NaN,NaN,NaN
"Wizard Reef (11-156)",NaN,NaN,NaN,NaN,NaN
"Bird Islands Reef (South) (11-169)",NaN,NaN,NaN,NaN,NaN
"Chimmo Shoal (11-170)",NaN,NaN,NaN,NaN,NaN
"Guthray Reef (11-171)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-172)",NaN,NaN,NaN,NaN,NaN
"Cockburn Reef (11-173)",NaN,NaN,NaN,NaN,NaN
"Magra Reef (11-174)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-175)",NaN,NaN,NaN,NaN,NaN
"Rodney Reef (11-176)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-177)",NaN,NaN,NaN,NaN,NaN
"Cockburn Patch (11-178)",NaN,NaN,NaN,NaN,NaN
"Erlangen Patch (11-179)",NaN,NaN,NaN,NaN,NaN
"Paluma Shoal (11-180)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-159)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-160)",NaN,NaN,NaN,NaN,NaN
"Viking Reef (11-161)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-162)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-163)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-164)",NaN,NaN,NaN,NaN,NaN
"Thrush Reef (11-165)",NaN,NaN,NaN,NaN,NaN
"Forwood Reef (11-166)",NaN,NaN,NaN,NaN,NaN
"Bird Islands Reef (North) (11-167)",NaN,NaN,NaN,NaN,NaN
"Fairway Reef (11-168)",NaN,NaN,NaN,NaN,NaN
"Three Reefs (11-223)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-224)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-225)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-226)",NaN,NaN,NaN,NaN,NaN
"U/N Reef (11-227)",NaN,NaN,NaN,NaN,NaN
"Wood Reef (11-228)",NaN,NaN,NaN,NaN,NaN
"Sunday Reef (11-181)",NaN,NaN,NaN,NaN,NaN
"Bremner Shoal (11-182)",NaN,NaN,NaN,NaN,NaN
"Outer Reef (11-183)",NaN,NaN,NaN,NaN,NaN
"Queue Reef (11-184a)",NaN,NaN,NaN,NaN,NaN
"Wreck Reef (11-184b)",NaN,NaN,NaN,NaN,NaN
