"reefName","outbreak","nObs","cotsPerTowMean","cotsPerTowMax","cotsPerTowMedian"
"One Tree Island Reef (23-055a)",1,26,0.0600105327471667,1.24242424242424,0
"Opal Reef (16-025)",1,24,0.0896895579369255,2,0
"Osborne Reef (13-006)",1,10,0.0583909490886235,0.351351351351351,0
"Osterlund Reef (15-078)",1,4,0.178502879078695,0.714011516314779,0
"Oyster Reef (16-043a)",1,11,0.0273095698627614,0.276595744680851,0
"Packer Reefs (20-145)",0,11,0.0034965034965035,0.0384615384615385,0
"Pasco Reef (15-018)",1,5,0.158937198067633,0.739130434782609,0
"Pearson Reef (11-211)",1,11,0.0622561154560465,0.294117647058824,0
"Peart Reef (17-024)",1,17,0.257539192833311,3.24786324786325,0
"Pickersgill Reef (15-093)",1,24,0.142463078391979,2.00502512562814,0
"Pith Reef (18-033)",1,6,0.04,0.24,0
"Pixie Reef (16-040)",0,14,0.030187074829932,0.208333333333333,0
"Pollux Reef (19-027)",1,5,1.04308823529412,4.8,0.0625
"Pompey Reef (No 1) (20-351a)",0,10,0,0,0
"Pompey Reef (No 2) (20-351b)",0,10,0,0,0
"Potter Reef (No 1) (17-059a)",1,13,0.895267857472927,5.8,0.0333333333333333
"Prawn Reef (19-024)",0,9,0.0119247952106826,0.0447761194029851,0
"Price Cay Reef (21-518)",1,3,1,3,0
"Quoin Reef (12-027)",1,8,0.24702380952381,1,0.0714285714285714
"Rachel Carson Reef (15-092)",0,9,0,0,0
"Rebe Reef (19-209)",0,21,0,0,0
"Recreation Reef (21-501)",1,6,0.189689921040446,0.518796992481203,0.103968253968254
"Rib Reef (18-032)",1,34,0.818364031362181,8.54545454545454,0
"Ribbon No 1 Reef (15-080)",0,9,0,0,0
"Ribbon No 3 Reef (15-050)",0,11,0,0,0
"Ribbon No 6 Reef (15-032)",0,9,0,0,0
"Ribbon No 9 Reef (14-154)",0,12,0,0,0
"Rocky Islets Reef (14-132a)",1,6,0.57608764436007,3.24489795918367,0.00581395348837209
"Rodda Reef (13-127)",1,26,0.0999249497369798,1.13888888888889,0
"Ron Isbel Reef (22-108)",1,3,3.03787878787879,8.36363636363636,0.75
"Rosser Reef (15-081)",1,13,0.186130258390828,1.20779220779221,0
"Round-Russell Reef (17-013)",0,13,0.0132107023411371,0.0833333333333333,0
"Roxburgh Reef (18-042)",0,14,0,0,0
"Ruby Reef (15-088)",0,12,0,0,0
"Rudder Reef (16-023)",1,17,0.20750952475319,1.70434782608696,0
"Sanctuary Reef (22-109)",1,7,0.690730335806638,2.92517006802721,0.385964912280702
"Sand Bank No 1 Reef (14-045)",0,10,0,0,0
"Sandshoe Reef (22-133)",1,4,4.54724176891088,15.1527777777778,1.51809464893288
