"reefName","cotsPerTowMaxImput","cotsPerTowMeanImput","cotsPerTowMedianImput","x","y","area"
"U/N Reef (21-475)",1.19454505281096,0.492471516302062,0.09954539512963,152.27966309,-21.52086449,12793086.15
"U/N Reef (21-476)",1.62437813554463,0.402349520497418,0.09017039512963,152.19670105,-21.55088615,5193629.322
"U/N Reef (21-477)",3.51475646049806,0.595559749968561,0.149472029294129,152.39788818,-21.54730034,4954792.432
"U/N Reef (21-478)",1.56984340004253,0.504910273859335,0.09954539512963,152.27316284,-21.56251717,6652770.527
"U/N Reef (21-479)",3.62189416678965,0.648344775059318,0.151274774958869,152.45674133,-21.56138802,4315272.266
"U/N Reef (21-294)",2.36646057196048,0.205195409244049,0.013028832271508,152.60525513,-21.28995514,10200725.51
"U/N Reef (21-295)",2.08727035134056,0.406370571366305,0.0729230658172064,152.58059692,-21.31895638,6222388.686
"U/N Reef (21-296)",0,0,0,152.55335999,-21.33865738,6047972.799
"U/N Reef (21-297a)",1.70617501760706,0.595005476376882,0.099436539664751,152.50587463,-21.36851501,915105.4901
"U/N Reef (21-297b)",1.94583267318358,0.37732089573279,0.0643438816034174,152.52484131,-21.34047318,466543.7716
"Whites Bay Reef (21-396)",NaN,0.0448275862068966,0,150.29501343,-21.67314339,20558.58916
"West Spur Reef (21-398)",NaN,0.0448275862068966,0,150.27511597,-21.68361664,474469.4252
"East Spur Reef (21-399)",NaN,0.0448275862068966,0,150.28730774,-21.68441772,597955.7812
"Howard Islet Reef (21-401)",NaN,NaN,NaN,150.31643677,-21.73255157,300997.7353
"Hixson Islet Reef (21-402)",NaN,NaN,NaN,150.28936768,-21.74769211,94265.96066
"U/N Reef (21-124)",0.384648781945352,0.109651089922929,0.0235189122471731,151.12799072,-21.25706482,5327761.468
"U/N Reef (21-125)",0.116865079365079,0.075135611553028,0.0235189122471731,151.37493896,-21.26511574,2774851.99
"U/N Reef (21-126)",0.286405301622693,0.11748331063171,0.0251988345505426,151.20361328,-21.29463577,142519.9009
"U/N Reef (21-127a)",0.384648781945352,0.109651089922929,0.0235189122471731,151.11434937,-21.29155731,1469991.313
"U/N Reef (21-127b)",0.423310063527455,0.109651089922929,0.0235189122471731,151.11967468,-21.31758881,419990.9331
"U/N Reef (21-208)",0.0165167015900407,0.041042579296095,0.0161243634055864,152.16401672,-21.09871864,1009531.977
"U/N Reef (21-209)",0.0165167015900407,0.0483719471778251,0.0164236327947029,152.25634766,-21.10013008,2818263.945
"U/N Reef (21-210)",0.0776860336552171,0.207769548857146,0.0137037888478604,152.31355286,-21.10190964,249892.6231
"U/N Reef (21-211)",0.0776860336552171,0.207769548857146,0.0137037888478604,152.35432434,-21.10294342,1546965.338
"U/N Reef (21-212)",0.0165167015900407,0.0390683121049268,0.015049405845214,152.1565094,-21.10522842,588403.2825
"U/N Reef (21-213)",0.0165167015900407,0.0483719471778251,0.0164236327947029,152.18656921,-21.1063652,8502949.032
"U/N Reef (21-297c)",1.81992001878087,0.464217621825364,0.0635835489997188,152.52258301,-21.35182953,203603.2091
"U/N Reef (21-297d)",1.81992001878087,0.55437947072287,0.103995277919711,152.51069641,-21.35843468,119095.8681
"U/N Reef (21-298)",1.70617501760706,0.595005476376882,0.099436539664751,152.50158691,-21.37943649,782601.64
"U/N Reef (21-299)",1.70617501760706,0.701944669335448,0.162286679720773,152.52914429,-21.37872505,8011188.037
"U/N Reef (21-300a)",1.70617501760706,0.648344775059318,0.151274774958869,152.50752258,-21.39318848,1394225.748
"U/N Reef (21-300b)",1.70617501760706,0.701944669335448,0.162286679720773,152.51759338,-21.39437294,106586.1111
"U/N Reef (21-301)",1.8487785331954,0.701944669335448,0.162286679720773,152.5291748,-21.42930031,383085.979
"U/N Reef (21-302)",0,0,0,152.58131409,-21.43224525,4572939.777
"South Island Reef (No 1) (21-403a)",NaN,NaN,NaN,150.31620789,-21.73898125,205171.3184
"South Island Reef (No 2) (21-403b)",NaN,NaN,NaN,150.34436035,-21.73621368,246187.897
"South East Islets Reef (21-406)",NaN,NaN,NaN,150.42985535,-21.7577095,1004591.153
"Storm Reef (21-128)",0.241848821468387,0.11748331063171,0.0251988345505426,151.16723633,-21.32230186,53160548.34
"U/N Reef (21-129)",0.423310063527455,0.109651089922929,0.0235189122471731,151.09651184,-21.35380936,22820053.71
"Zodiac Reef (21-214)",0.0281533752413821,0.0339045929879544,0.0132788875104829,152.04922485,-21.12125206,30794084.94
"U/N Reef (21-215)",0.0776860336552171,0.207769548857146,0.0137037888478604,152.32237244,-21.11697006,1341187.06
"U/N Reef (21-216)",0.0776860336552171,0.207769548857146,0.0137037888478604,152.38909912,-21.12158012,688894.9614
"U/N Reef (21-217)",0.120412972730333,0.220328007212746,0.0145602756508517,152.47236633,-21.12492561,591918.5454
"U/N Reef (21-218)",0.137614825977524,0.207367536200231,0.0137037888478604,152.4850769,-21.13196373,648516.3077
"U/N Reef (21-219)",0.0165167015900407,0.0476080798812957,0.0168207965204947,152.18249512,-21.13493919,1687479.052
"U/N Reef (21-220)",0.0201095537438444,0.044963186554557,0.0158863078249117,152.14297485,-21.15692139,3983430.64
"U/N Reef (21-303)",1.65798546063708,0.701944669335448,0.162286679720773,152.51974487,-21.46067429,2463016.467
"U/N Reef (21-304)",1.51054780818499,0.701944669335448,0.162286679720773,152.51011658,-21.47377586,3311544.196
"East Cay Reef (21-305)",0.522388059701492,0.0524330495134732,0,152.56459045,-21.48348045,8927895.827
"U/N Reef (21-306)",1.44621554850558,0.701944669335448,0.162286679720773,152.50949097,-21.4948616,631341.8781
"U/N Reef (21-307)",NaN,0,0,149.4793396,-21.53699303,5353758.027
"Bamborough Island Reef (No 1) (21-414a)",NaN,NaN,NaN,150.10479736,-21.92339325,2218369.05
"Bamborough Island Reef (No 2) (21-414b)",NaN,NaN,NaN,150.11930847,-21.92155647,621400.2743
"Jeffreys Rocks Reef (21-415)",NaN,NaN,NaN,150.22834778,-21.91445732,524874.3896
"U/N Reef (21-130)",0.11468253968254,0.0802097009028344,0.0251988345505426,151.277771,-21.34298134,24587387.8
"Nancy Foster Reef (21-131)",0.116865079365079,0.0919474973063892,0.0261851010070727,151.36734009,-21.36973381,15099082.57
"U/N Reef (21-132)",0.116865079365079,0.0919474973063892,0.0261851010070727,151.32798767,-21.39435387,12741877.43
"U/N Reef (21-133)",0.11468253968254,0.0802097009028344,0.0251988345505426,151.25033569,-21.37825012,5334130.338
